Unnamed: 0,PLZ,TUEREN,PREIS,MARKE,MODELL,REGDATE,KM_STAND,LEISTUNG_PS,FARBE,TREIBSTOFF,AUFBAU,GETRIEBE_TYP
10312,3185,5,15950,Jeep,Grand Cherokee,2014,200'000 - 249'999,250,Schwarz,1,3,0
10314,3178,5,11890,Audi,Q7,2007,250'000 - 299'999,233,Schwarz,1,3,0
10315,1784,3,3000,SEAT,Ibiza,2007,190'000 - 199'999,180,Schwarz,0,1,1
10317,3185,5,13920,Renault,Clio,2018,25'000 - 29'999,90,Rot,0,1,1
10318,1700,2,350,Volkswagen,Polo,1996,170'000 - 179'999,100,Grün,0,1,1
10320,3178,5,39999,Porsche,Macan,2014,130'000 - 139'999,400,Weiss,0,3,0
10321,3185,2,29950,BMW,3er,1987,200'000 - 249'999,170,Grau,0,4,1
10322,1753,5,35500,Mercedes-Benz,A-Klasse,2016,75'000 - 79'999,381,Schwarz,0,1,0
10323,1753,5,50400,Audi,A4,2021,30'000 - 34'999,204,Schwarz,2,0,0
10324,1720,5,148900,Mercedes-Benz,AMG,2021,10'000 - 14'999,612,Schwarz,2,3,0
10325,3178,3,15900,Opel,Calibra,1993,170'000 - 179'999,204,Blau,0,5,1
10326,1752,5,29990,Opel,Insignia,2018,75'000 - 79'999,260,Sonstige,0,0,0
10327,1714,5,4250,Toyota,Aygo,2007,120'000 - 129'999,70,Grün,0,1,1
10328,1752,5,39400,Opel,Corsa,2022,5'000 - 9'999,136,Sonstige,2,1,0
10329,1753,5,41500,Audi,Q2,2020,25'000 - 29'999,190,Grau,0,3,0
10333,3178,5,22990,BMW,5er,2013,170'000 - 179'999,306,Grau,0,0,0
10335,3178,5,58990,Mercedes-Benz,GLE-Klasse,2016,80'000 - 84'999,333,Schwarz,0,3,0
10336,3178,5,37999,BMW,X-serien,2018,80'000 - 84'999,190,Silber,1,3,0
10337,1541,2,7500,Smart,Fortwo,2011,110'000 - 119'999,71,Schwarz,0,4,0
10338,1753,5,35390,Audi,Q2,2020,15'000 - 19'999,150,Schwarz,0,3,0
10339,1712,5,29000,Mercedes-Benz,ML,2013,95'000 - 99'999,258,Weiss,1,3,0
10340,1752,5,38000,Mazda,3,2022,5'000 - 9'999,186,Sonstige,0,1,0
10341,1752,5,29809,Opel,Crossland,2021,0 - 4'999,130,Sonstige,0,3,1
10342,1752,3,13990,Opel,Adam,2018,55'000 - 59'999,115,Grau,0,1,1
10343,1544,2,6000,Volkswagen,Golf,1985,250'000 - 299'999,112,Gelb,0,4,1
10344,3215,5,3900,Opel,Agila,2011,130'000 - 139'999,94,Weiss,0,2,1
10345,1753,5,56900,Audi,SQ5,2019,90'000 - 94'999,347,Schwarz,1,3,0
10346,3210,5,31000,Audi,A3,2018,50'000 - 54'999,150,Grau,1,3,0
10347,3286,5,7500,Dacia,Duster,2012,90'000 - 94'999,105,Grau,0,3,1
10348,1541,2,5000,Peugeot,206,2003,110'000 - 119'999,109,Grün,0,4,0
10352,1784,5,38600,Volkswagen,Golf,2017,50'000 - 54'999,310,Weiss,0,1,0
10353,3286,5,1700,Renault,Espace,2007,190'000 - 199'999,170,Grau,0,2,0
10354,1752,4,27490,Citroën,Jumper,2013,35'000 - 39'999,150,Weiss,1,2,1
10355,1753,5,43780,Alfa Romeo,Stelvio,2019,45'000 - 49'999,280,Grau,0,0,0
10357,1630,5,9499,Peugeot,108,2015,50'000 - 54'999,82,Weiss,0,1,1
10358,1772,5,14900,Volvo,V40,2015,70'000 - 74'999,152,Schwarz,0,0,1
10359,3286,2,11000,Renault,Maxity,2011,160'000 - 169'999,130,Weiss,1,2,1
10360,1752,5,32990,Mazda,3,2020,10'000 - 14'999,180,Grau,0,1,1
10361,1753,5,15900,Ford,Fiesta,2017,40'000 - 44'999,100,Weiss,0,1,0
10363,1752,5,39020,Opel,Grandland X,2022,5'000 - 9'999,130,Sonstige,0,3,0
10364,1752,5,34900,Mazda,MX-30,2020,5'000 - 9'999,143,Sonstige,2,3,0
10365,1752,5,24590,Opel,Corsa,2021,15'000 - 19'999,130,Sonstige,0,1,0
10366,1752,5,27990,Opel,Crossland,2021,5'000 - 9'999,130,Sonstige,0,3,1
10367,1680,4,3800,Audi,A4,1996,130'000 - 139'999,150,Blau,0,1,0
10368,3178,5,4990,Opel,Meriva,2007,140'000 - 149'999,125,Grau,0,2,1
10370,1753,5,91900,Dodge,Durango,2021,5'000 - 9'999,492,Schwarz,0,3,0
10372,3216,5,19999,Volkswagen,Golf,2014,45'000 - 49'999,140,Silber,0,1,0
10373,1784,5,7600,Skoda,Fabia,2012,75'000 - 79'999,86,Grau,0,0,1
10374,3178,2,15999,Audi,TTS / TTRS,2008,130'000 - 139'999,272,Schwarz,0,5,0
10375,3185,4,6950,Mercedes-Benz,C-Klasse,2005,190'000 - 199'999,150,Schwarz,1,1,1
10376,1723,5,67900,Land Rover,Range Rover,2021,20'000 - 24'999,250,Grau,0,3,0
10377,1773,3,15500,Ford,Capri,1981,100'000 - 109'999,160,Weiss,0,5,1
10379,1772,5,9800,Audi,A4,2009,150'000 - 159'999,211,Schwarz,0,0,0
10380,1617,5,36400,DS Automobiles,DS7,2018,65'000 - 69'999,177,Sonstige,1,3,0
10381,3185,5,19950,Audi,S,2011,140'000 - 149'999,333,Schwarz,0,1,0
10382,1772,5,6900,Opel,Antara,2007,130'000 - 139'999,150,Schwarz,1,3,0
10383,3286,5,8000,Nissan,Patrol,1985,150'000 - 159'999,110,Sonstige,1,3,1
10384,1544,2,2500,Volkswagen,Golf,1996,250'000 - 299'999,115,Grün,0,4,1
10385,1773,3,11900,Ford,Capri,1982,180'000 - 189'999,114,Braun,0,5,1
10386,1630,5,15999,Volkswagen,Golf,2006,200'000 - 249'999,250,Grau,0,1,0
10387,3185,5,13950,Volkswagen,Golf,1992,190'000 - 199'999,174,Rot,0,1,1
10388,3178,5,7990,Citroën,C5,2012,150'000 - 159'999,156,Silber,0,0,0
10389,1752,5,31259,Opel,Insignia,2018,15'000 - 19'999,200,Sonstige,0,1,0
10390,3185,5,10800,Renault,Clio,2015,55'000 - 59'999,90,Rot,0,1,1
10391,1720,3,17200,Fiat,500,2021,10'000 - 14'999,70,Sonstige,2,1,1
